"","Best4.Enterocytes","Enterocytes","Enteroendocrine","Goblet","Stem","TA"
"chr1-95000000-96000000",3429,4050,3384,3448,3268,3247
"chr1-96000000-97000000",1384,1150,1521,1332,1287,1333
"chr1-97000000-98000000",1776,1198,1521,1552,1321,1355
"chr1-98000000-99000000",1809,1703,1854,2037,2022,2082
"chr1-99000000-100000000",2380,2383,2160,2167,2407,2570
"chr1-100000000-101000000",3530,4013,3996,3317,3595,3672
"chr1-101000000-102000000",1993,1891,1604,1741,1823,1955
"chr1-102000000-103000000",1231,1194,788,1119,1241,1351
"chr1-104000000-105000000",1151,1013,649,985,1089,1073
"chr1-105000000-106000000",965,867,584,878,1063,1041
"chr1-106000000-107000000",1237,1045,1038,1095,1176,1164
"chr1-107000000-108000000",3108,2899,3551,3111,2955,3040
"chr1-109000000-110000000",11253,10132,10737,10803,11269,11128
"chr1-110000000-111000000",4834,5843,6648,5179,5270,5259
"chr1-111000000-112000000",4560,4045,5109,5229,4470,4463
"chr1-112000000-113000000",6399,8657,5433,6316,6300,6862
"chr1-113000000-114000000",8490,11019,6713,8995,8570,9116
"chr1-114000000-115000000",2972,2799,3078,2908,3043,3096
"chr1-115000000-116000000",3548,2656,3690,2998,3498,3031
"chr1-116000000-117000000",9968,16675,8985,11027,11999,12818
"chr1-117000000-118000000",5768,4080,6407,6376,5444,5431
"chr1-118000000-119000000",1293,1346,1910,1316,1385,1340
"chr1-119000000-120000000",7027,4938,4970,5659,5373,5545
"chr1-150000000-151000000",9734,12196,9597,10469,10631,10438
"chr1-151000000-152000000",13119,15945,13510,12998,14238,14159
"chr1-152000000-153000000",2294,1849,2383,2132,2302,2258
"chr1-153000000-154000000",10929,10613,9652,10884,10035,10060
"chr1-154000000-155000000",7675,10119,9866,7861,7902,8304
"chr1-156000000-157000000",13496,15186,15104,15050,13969,14165
"chr1-157000000-158000000",4243,4073,3403,3997,3989,3872
"chr1-158000000-159000000",1698,1565,1428,1362,1540,1585
"chr1-159000000-160000000",4651,4969,6120,5858,4874,5058
"chr1-160000000-161000000",5320,4704,4988,6061,5259,5190
"chr1-162000000-163000000",5599,6193,5582,6642,5680,6183
"chr1-163000000-164000000",1398,1212,2503,1518,1448,1311
"chr1-164000000-165000000",4985,4712,4154,3939,4027,4251
"chr1-165000000-166000000",4542,4907,7399,4604,4687,4872
"chr1-166000000-167000000",2394,2028,1854,2370,2272,2409
"chr1-167000000-168000000",9432,8723,8558,9388,9135,9424
"chr1-168000000-169000000",6520,4456,3764,3814,5212,5091
"chr1-169000000-170000000",7207,7639,6064,6745,6838,6859
"chr1-170000000-171000000",2549,3151,2503,2444,2723,2676
"chr1-171000000-172000000",2854,3386,2995,3361,3453,3526
"chr1-172000000-173000000",2910,3183,2633,3409,3338,3359
"chr1-173000000-174000000",3697,4768,2902,3929,3748,4096
"chr1-175000000-176000000",2758,2352,4098,2195,2776,2837
"chr1-176000000-177000000",1721,1708,2466,1629,1826,1798
"chr1-177000000-178000000",3209,2117,3570,3193,2539,2460
"chr1-178000000-179000000",4274,4830,5869,4901,4160,4107
"chr1-179000000-180000000",4937,4890,6824,5258,5228,5352
"chr1-180000000-181000000",5202,5973,5063,5220,4864,5062
"chr1-181000000-182000000",4404,3238,5545,4243,3849,4036
"chr1-182000000-183000000",6270,5771,6537,7394,6078,6399
"chr1-183000000-184000000",5010,4845,4451,4172,4115,3935
"chr1-184000000-185000000",6397,6120,5869,6754,5418,5492
"chr1-185000000-186000000",5103,5838,3829,4917,5013,5464
"chr1-186000000-187000000",2423,1693,1771,1949,1934,1951
"chr1-187000000-188000000",1046,940,909,1172,980,1047
"chr1-188000000-189000000",978,865,649,765,821,897
"chr1-189000000-190000000",1024,869,668,976,925,921
"chr1-190000000-191000000",1411,1133,1242,1307,1251,1303
"chr1-191000000-192000000",926,891,436,809,867,941
"chr1-192000000-193000000",1527,1296,3115,1666,1525,1506
"chr1-193000000-194000000",4280,3195,3208,4289,3966,4251
"chr1-194000000-195000000",1095,945,844,910,968,1039
"chr1-195000000-196000000",1783,1743,705,1900,1697,1862
"chr1-196000000-197000000",1037,945,631,893,941,923
"chr1-197000000-198000000",3052,3251,2392,2847,2974,3142
"chr1-198000000-199000000",2611,2158,2068,2059,2264,2217
"chr1-199000000-200000000",1644,1559,2012,1502,1865,1886
"chr1-200000000-201000000",6120,7547,5860,6080,6506,6697
"chr1-201000000-202000000",8472,9702,10162,8355,8993,9227
"chr1-202000000-203000000",11676,13036,12573,12173,12207,12119
"chr1-203000000-204000000",8057,6788,10292,7876,8092,7600
"chr1-204000000-205000000",9926,11579,13834,11287,10463,10191
"chr1-205000000-206000000",10373,8027,11229,10374,10659,10152
"chr1-208000000-209000000",5014,5711,5665,5357,5230,5272
"chr1-209000000-210000000",4681,4987,5063,5217,4629,4698
"chr1-210000000-211000000",1971,1696,2114,2274,2092,2176
"chr1-211000000-212000000",5970,6830,5322,5890,6980,6596
"chr1-212000000-213000000",7539,9704,7603,7592,7243,7449
"chr1-213000000-214000000",5496,2809,4998,2642,3859,3382
"chr1-214000000-215000000",2564,1591,3338,2616,2518,2252
"chr1-215000000-216000000",1652,1558,2596,1945,1525,1615
"chr1-216000000-217000000",1399,1251,2346,1552,1395,1402
"chr1-217000000-218000000",1791,1327,2448,1420,1937,1694
"chr1-218000000-219000000",1357,1186,1650,1325,1318,1281
"chr1-219000000-220000000",1863,2547,2235,1611,1761,1741
"chr1-220000000-221000000",4597,5158,5313,4791,4636,4760
"chr1-221000000-222000000",1814,1459,2012,2002,1612,1555
"chr1-222000000-223000000",3488,2625,3996,4161,2821,2894
"chr1-224000000-225000000",5992,5800,5943,5939,5822,6144
"chr1-225000000-226000000",7880,6252,7436,7435,8150,8270
"chr1-226000000-227000000",8330,8513,11173,8194,9013,8698
"chr1-227000000-228000000",5613,4179,5081,5025,4664,4740
"chr1-229000000-230000000",6079,4271,5906,5421,6388,5751
"chr1-230000000-231000000",8110,6114,7279,9103,7653,7636
"chr1-231000000-232000000",4427,3959,3876,4363,4618,4281
"chr1-232000000-233000000",6557,6337,6444,6515,6396,6692
"chr1-233000000-234000000",3710,3668,3792,3559,3686,3768
"chr1-234000000-235000000",10948,9772,11219,10046,10557,10382
"chr1-235000000-236000000",6890,7142,7297,8015,7311,7135
"chr1-236000000-237000000",3560,2419,3987,2864,3055,2907
"chr1-237000000-238000000",1446,1180,1669,1713,1428,1357
"chr1-238000000-239000000",1305,1051,834,962,1042,1054
"chr1-239000000-240000000",3327,1686,2040,1941,2616,2403
"chr1-240000000-241000000",2759,2854,2902,1924,3270,3163
"chr1-241000000-242000000",3246,3220,3885,2905,3064,3123
"chr1-244000000-245000000",6095,5459,5628,6069,6178,6060
"chr1-245000000-246000000",2277,1379,5294,2526,2324,2030
"chr1-246000000-247000000",4916,5654,4376,5613,5290,5290
"chr1-247000000-248000000",3194,2838,2689,3095,3378,3225
"chr2-1000000-2000000",2294,1681,3941,2393,2540,2452
"chr2-2000000-3000000",1233,1196,1029,1077,1250,1188
"chr2-3000000-4000000",3737,2998,4219,3578,3536,3448
"chr2-4000000-5000000",1052,1018,519,847,1080,1099
"chr2-5000000-6000000",975,1026,491,923,1129,1100
"chr2-6000000-7000000",2249,3009,2457,2464,2275,2315
"chr2-7000000-8000000",1857,1901,2513,1875,1992,2004
"chr2-8000000-9000000",9093,8039,7418,8710,8014,8556
"chr2-9000000-10000000",9205,11732,8354,10830,9350,9453
"chr2-10000000-11000000",11406,11861,9828,11600,10755,10605
"chr2-11000000-12000000",5866,6267,5081,7166,6424,6187
"chr2-12000000-13000000",1897,1720,1094,1606,1810,1834
"chr2-13000000-14000000",907,940,491,796,960,973
"chr2-14000000-15000000",2624,2553,1790,2766,2951,2874
"chr2-15000000-16000000",2156,1834,2596,2072,2154,1976
"chr2-16000000-17000000",2097,2465,1929,2392,2694,2697
"chr2-17000000-18000000",2998,2899,2587,3093,3716,3585
"chr2-18000000-19000000",1997,1385,2160,1660,1580,1542
"chr2-19000000-20000000",2843,2496,2865,2625,2793,2594
"chr2-20000000-21000000",9154,8959,7112,7889,9140,9205
"chr2-21000000-22000000",1469,1315,2096,1493,1755,1581
"chr2-22000000-23000000",1042,978,992,1084,1177,1109
"chr2-23000000-24000000",3288,3233,5869,3506,3637,3375
"chr2-24000000-25000000",5560,5323,4441,5441,5599,5525
"chr2-25000000-26000000",4807,3817,6055,4315,5088,4736
"chr2-26000000-27000000",6881,7169,9087,6572,6788,6936
"chr2-27000000-28000000",8819,9917,8540,8704,9718,9579
"chr2-28000000-29000000",12540,15740,10589,11212,11760,11913
"chr2-29000000-30000000",1255,1147,1669,1156,1238,1206
"chr2-30000000-31000000",4946,4175,5749,4387,4533,4503
"chr2-31000000-32000000",1944,2299,1771,1577,1908,2008
"chr2-32000000-33000000",4637,4970,4061,4722,4763,4736
"chr2-33000000-34000000",2112,2333,1678,1987,2365,2171
"chr2-34000000-35000000",1235,972,983,1544,1366,1270
"chr2-35000000-36000000",960,988,566,1054,1116,1061
"chr2-36000000-37000000",5129,5237,5202,6233,5868,5905
"chr2-37000000-38000000",4042,3954,6064,5718,4993,4783
"chr2-38000000-39000000",4828,4445,4247,5774,5337,5354
"chr2-39000000-40000000",2866,3218,3190,2793,2847,2801
"chr2-40000000-41000000",1138,1225,1975,1088,1240,1200
"chr2-41000000-42000000",2062,1867,2782,1529,2326,2384
"chr2-42000000-43000000",11625,8344,10923,9460,10781,10675
"chr2-43000000-44000000",10284,9747,7993,9510,10212,9871
"chr2-44000000-45000000",4555,4099,4701,3783,4282,4130
"chr2-45000000-46000000",4131,4464,6630,3783,4479,4337
"chr2-46000000-47000000",8035,11703,6463,7343,8256,8870
"chr2-47000000-48000000",8871,9043,7223,8827,8504,8858
"chr2-48000000-49000000",3001,2150,3245,2555,2642,2657
"chr2-49000000-50000000",1235,1151,1298,1070,1347,1263
"chr2-50000000-51000000",979,945,1567,950,1009,944
"chr2-51000000-52000000",1058,1116,872,1121,1151,1108
"chr2-52000000-53000000",921,901,677,828,1062,965
"chr2-53000000-54000000",3211,2080,2244,2928,2820,2729
"chr2-54000000-55000000",5378,6528,6704,7027,6241,6184
"chr2-55000000-56000000",5178,4590,5257,6105,5196,5167
"chr2-56000000-57000000",1260,1278,2392,1094,1499,1331
"chr2-57000000-58000000",985,1317,1029,1005,1177,1172
"chr2-58000000-59000000",1634,1397,1632,1832,1718,1589
"chr2-59000000-60000000",1129,1363,2337,1386,1604,1545
"chr2-60000000-61000000",4862,5331,5081,4338,5823,5637
"chr2-61000000-62000000",5663,7060,5331,5916,5957,6361
"chr2-62000000-63000000",3375,3291,4043,3441,3514,3614
"chr2-63000000-64000000",2647,4294,2244,2893,2745,3022
"chr2-64000000-65000000",10544,12479,8215,9677,10567,10778
"chr2-65000000-66000000",6818,8164,5313,7496,7255,7324
"chr2-66000000-67000000",3146,1184,1298,1377,1469,1303
"chr2-67000000-68000000",3250,2166,1854,2383,2256,2047
"chr2-68000000-69000000",3264,2486,2930,3206,3268,3112
"chr2-69000000-70000000",7345,12492,5693,8649,8307,9166
"chr2-70000000-71000000",8263,9630,7047,8073,8084,8091
"chr2-71000000-72000000",4128,3163,3829,3185,3698,3500
"chr2-72000000-73000000",4454,5297,2976,3156,3594,4349
"chr2-74000000-75000000",11736,11643,9995,11700,11380,11804
"chr2-75000000-76000000",1506,1470,1892,1518,1627,1634
"chr2-76000000-77000000",1532,1391,964,1484,1466,1541
"chr2-77000000-78000000",829,1075,807,909,1032,963
"chr2-78000000-79000000",920,906,593,839,884,943
"chr2-79000000-80000000",1558,1563,1344,1959,2160,2063
"chr2-80000000-81000000",1779,1684,1771,1445,1885,1872
"chr2-81000000-82000000",1500,1042,853,1131,1182,1205
"chr2-82000000-83000000",1426,1186,1122,1403,1531,1555
"chr2-83000000-84000000",1497,1453,1298,1398,1478,1645
"chr2-84000000-85000000",6494,6309,4414,5973,6642,6699
"chr2-85000000-86000000",10271,10510,8975,9479,9676,9639
"chr2-88000000-89000000",4951,5532,4191,5399,5291,5266
"chr2-98000000-99000000",6864,7393,7269,7855,6793,7188
"chr2-99000000-100000000",3628,3619,4534,3522,3629,3693
"chr2-100000000-101000000",3246,4569,3987,3189,3625,3775
"chr2-101000000-102000000",6971,6949,7260,7393,6910,6556
"chr2-102000000-103000000",6089,5519,5990,5867,6351,6315
"chr2-103000000-104000000",1086,996,1419,1059,1093,1090
"chr2-104000000-105000000",1821,1446,1372,1416,1608,1600
"chr2-105000000-106000000",6897,7573,6342,8021,7352,7296
"chr2-114000000-115000000",1944,2333,2077,1498,2011,1991
"chr2-115000000-116000000",1223,1171,2188,1351,1432,1448
"chr2-116000000-117000000",1248,1935,1029,1120,1488,1640
"chr2-117000000-118000000",1742,2096,1892,1728,2156,2150
"chr2-118000000-119000000",2855,2551,2198,2141,2738,2600
"chr2-119000000-120000000",4997,5376,5600,4950,5745,6100
"chr2-120000000-121000000",4203,4031,4451,4123,4706,4414
"chr2-121000000-122000000",7386,9131,6426,8380,8832,8627
"chr2-122000000-123000000",1312,1509,1122,1408,1577,1672
"chr2-123000000-124000000",987,968,510,855,1030,1011
"chr2-124000000-125000000",1425,1818,1140,1439,1540,1619
"chr2-125000000-126000000",2485,1995,2902,2842,2320,2105
"chr2-126000000-127000000",1370,1388,1530,1366,1601,1567
"chr2-127000000-128000000",9112,10665,8642,8986,9316,9528
"chr2-128000000-129000000",3270,3641,3134,3729,3330,3287
"chr2-129000000-130000000",1757,1375,1372,1830,1791,1555
"chr2-133000000-134000000",1899,1734,2429,1834,2159,1969
"chr2-134000000-135000000",4184,5752,4488,5656,4894,4708
"chr2-135000000-136000000",3056,2838,3255,3474,3238,3162
"chr2-136000000-137000000",1320,1245,1020,1297,1211,1277
"chr2-137000000-138000000",2332,1959,1085,2281,2201,2177
"chr2-138000000-139000000",2524,1870,1697,2381,2191,2229
"chr2-139000000-140000000",1358,1116,1224,1428,1379,1273
"chr2-140000000-141000000",1029,1005,881,1300,1015,1031
"chr2-141000000-142000000",925,979,705,1039,930,939
"chr2-142000000-143000000",1330,1234,1187,1207,1453,1445
"chr2-143000000-144000000",1223,1081,853,1223,1147,1143
"chr2-144000000-145000000",1715,1624,1511,1614,1607,1670
"chr2-145000000-146000000",1080,893,640,897,962,942
"chr2-146000000-147000000",1537,1040,853,1177,1230,1152
"chr2-147000000-148000000",3650,4045,2735,3567,3127,3446
"chr2-148000000-149000000",2713,2266,3792,2439,2655,2605
"chr2-149000000-150000000",3133,2722,2429,3420,2865,2804
"chr2-150000000-151000000",3293,4109,2485,3213,2990,3158
"chr2-151000000-152000000",1966,1925,1511,2239,2071,2035
"chr2-152000000-153000000",4703,4174,4451,4628,4678,4822
"chr2-153000000-154000000",1364,1152,1020,1230,1385,1408
"chr2-154000000-155000000",1294,1022,1975,1129,1189,1191
"chr2-155000000-156000000",860,986,742,1035,986,1007
"chr2-156000000-157000000",4133,4291,4126,4620,4240,4246
"chr2-157000000-158000000",4839,3515,4033,4718,4336,4321
"chr2-158000000-159000000",5121,3881,3357,4197,3897,3788
"chr2-159000000-160000000",5970,5421,4859,7086,6151,6128
"chr2-160000000-161000000",3803,3658,1808,2798,3528,3608
"chr2-161000000-162000000",2759,3073,4089,3483,2970,3070
"chr2-162000000-163000000",2671,2785,4172,3023,2822,2635
"chr2-163000000-164000000",1153,1143,927,980,1034,1066
"chr2-164000000-165000000",2017,1887,3088,2321,2161,2169
"chr2-165000000-166000000",2459,1867,2800,2716,2396,2319
"chr2-166000000-167000000",1430,1234,1252,1205,1325,1413
"chr2-167000000-168000000",2695,3656,1335,2235,2645,3075
"chr2-168000000-169000000",8142,11184,9383,8581,9447,9726
"chr2-169000000-170000000",4814,6076,4135,5142,4570,4834
"chr2-170000000-171000000",4030,2358,5137,4230,3436,3382
"chr2-171000000-172000000",4005,5112,3561,3635,4111,4540
"chr2-172000000-173000000",7504,6937,7038,7554,7839,7493
"chr2-173000000-174000000",3669,3307,3153,4277,4463,3842
"chr2-174000000-175000000",2486,2270,3245,2524,2646,2656
"chr2-175000000-176000000",2212,2197,2976,2850,2489,2445
"chr2-176000000-177000000",4744,3108,5433,3362,4478,4074
"chr2-177000000-178000000",4961,6074,4627,4482,5380,5843
"chr2-178000000-179000000",2956,2487,4284,3256,2928,2918
"chr2-179000000-180000000",1777,1813,3180,2127,1810,1821
"chr2-180000000-181000000",2469,1756,1428,2124,2096,2058
"chr2-181000000-182000000",3122,4177,5916,3137,3175,3309
"chr2-182000000-183000000",2546,1669,2374,2782,2100,2161
"chr2-183000000-184000000",2427,1791,2411,2062,2379,2328
"chr2-184000000-185000000",1245,1069,779,1100,1173,1197
"chr2-185000000-186000000",1338,1932,714,1633,1418,1526
"chr2-186000000-187000000",2100,2277,1929,2100,2131,2165
"chr2-187000000-188000000",1793,1290,2244,1459,1549,1540
"chr2-188000000-189000000",1198,1376,2772,1379,1321,1370
"chr2-189000000-190000000",3604,3934,3236,3709,3691,3547
"chr2-190000000-191000000",8025,7985,6138,7451,7397,7883
"chr2-191000000-192000000",6425,5802,3635,4930,5261,5505
"chr2-192000000-193000000",1070,1797,1011,1287,1313,1495
"chr2-193000000-194000000",1082,1150,797,1273,1128,1208
"chr2-194000000-195000000",934,920,807,841,918,950
"chr2-195000000-196000000",2248,2278,1929,2604,2667,2560
"chr2-196000000-197000000",4003,4866,4321,3808,4110,4007
"chr2-197000000-198000000",4605,3757,3848,4682,4299,4164
"chr2-198000000-199000000",4708,6233,3190,4925,5002,5121
"chr2-199000000-200000000",5890,5235,4636,5175,5612,6022
"chr2-200000000-201000000",6684,8479,6435,7372,6703,6767
"chr2-201000000-202000000",6488,8399,5999,6679,6444,6625
"chr2-202000000-203000000",4533,3986,3607,3780,4176,4245
"chr2-203000000-204000000",6405,7942,4757,5258,5994,6445
"chr2-204000000-205000000",3420,2321,4080,2602,3029,2609
"chr2-205000000-206000000",3704,3269,4571,2771,4092,4055
"chr2-206000000-207000000",2807,2394,2893,2409,2664,2635
"chr2-207000000-208000000",8137,9516,5823,7457,7779,8017
"chr2-208000000-209000000",3290,3005,2884,3087,3476,3545
"chr2-209000000-210000000",964,1020,1094,971,1114,1096
"chr2-210000000-211000000",1959,1722,1558,1784,2029,1950
"chr2-211000000-212000000",1292,1049,1400,1295,1199,1119
"chr2-212000000-213000000",1997,1730,1910,1984,1699,1856
"chr2-213000000-214000000",2363,1773,2401,2231,1994,2130
"chr2-214000000-215000000",1513,1254,955,1422,1398,1449
"chr2-215000000-216000000",2503,2353,2290,2330,2994,2739
"chr2-216000000-217000000",4450,3009,7965,4410,3996,3966
"chr2-217000000-218000000",1577,1404,1511,1519,1808,1672
"chr2-218000000-219000000",10286,11344,13000,10961,10188,10485
"chr2-219000000-220000000",10557,11494,14733,11903,11023,11026
"chr2-220000000-221000000",1248,1081,1224,1343,1331,1208
"chr2-221000000-222000000",2901,1730,2309,3615,3167,2888
"chr2-222000000-223000000",5200,4809,4339,4932,5248,5664
"chr2-223000000-224000000",3076,3853,5582,2802,3019,3136
"chr2-224000000-225000000",4388,4633,4747,4164,4180,4489
"chr2-225000000-226000000",1621,1054,2012,1583,1542,1461
"chr2-226000000-227000000",3318,3600,2976,3656,3141,3300
"chr2-227000000-228000000",6384,6585,3811,4874,6199,6136
"chr2-228000000-229000000",1175,1422,927,1201,1367,1360
"chr2-229000000-230000000",2860,3845,2327,3232,3382,3613
"chr2-230000000-231000000",6861,8945,5202,7410,6537,6825
"chr2-231000000-232000000",12809,11630,11099,12226,12778,12987
"chr2-232000000-233000000",6519,6355,4562,6536,6874,7101
"chr2-233000000-234000000",6777,8583,3551,5991,6739,6902
"chr2-234000000-235000000",3446,2354,3468,2816,3775,3360
"chr2-235000000-236000000",7782,6737,7251,7160,7183,7330
"chr2-236000000-237000000",2397,2347,1966,1944,2294,2255
"chr2-237000000-238000000",6165,6018,7650,7469,6154,6178
"chr2-238000000-239000000",7011,4939,5730,6398,6339,6366
"chr2-239000000-240000000",5289,3643,6667,5755,4921,4957
"chr2-240000000-241000000",6828,6076,8549,6324,6437,6317
"chr2-241000000-242000000",11818,8911,10478,12761,10951,10994
"chr3-1000000-2000000",1522,1323,1409,1295,1496,1525
"chr3-2000000-3000000",1888,1374,4043,1769,1788,1729
"chr3-3000000-4000000",2124,1775,1984,2244,2081,2019
"chr3-4000000-5000000",6005,4580,5628,5960,5652,5480
"chr3-5000000-6000000",3766,4023,2763,3924,3422,3683
"chr3-6000000-7000000",2384,1584,1623,1695,1764,1922
"chr3-7000000-8000000",1631,1332,1836,1276,1461,1475
"chr3-8000000-9000000",3303,2786,3802,3019,2824,2738
"chr3-9000000-10000000",8626,9185,7863,9146,8663,8995
"chr3-10000000-11000000",3239,3326,3505,3382,3496,3415
"chr3-11000000-12000000",4782,4127,5276,5167,4968,5149
"chr3-12000000-13000000",9962,8919,7019,9080,9163,9157
"chr3-13000000-14000000",3262,2238,3663,3422,3193,3015
"chr3-14000000-15000000",8162,7999,7687,7818,8129,7596
"chr3-15000000-16000000",3694,3654,4108,3907,4027,4012
"chr3-16000000-17000000",3395,4103,3764,4255,3320,3589
"chr3-17000000-18000000",2454,2232,2763,2613,2335,2306
"chr3-18000000-19000000",2534,1802,2272,2295,2433,2415
"chr3-19000000-20000000",1938,1991,2012,2382,2233,2099
"chr3-20000000-21000000",1925,1835,1882,1677,1683,1708
"chr3-21000000-22000000",964,972,677,855,987,986
"chr3-22000000-23000000",1078,1100,1020,1157,1089,1170
"chr3-23000000-24000000",3843,3926,3208,3765,3836,3824
"chr3-24000000-25000000",3445,4198,3060,3900,3470,3647
"chr3-25000000-26000000",2688,2058,2290,2495,2662,2725
"chr3-26000000-27000000",1103,958,816,923,1067,1078
"chr3-27000000-28000000",3942,1865,3663,4208,3410,3032
"chr3-28000000-29000000",2717,2313,1901,2516,2467,2564
"chr3-29000000-30000000",1123,945,1029,1185,1153,1062
"chr3-30000000-31000000",3525,3455,3672,3107,4045,3664
"chr3-31000000-32000000",4305,3138,3681,3301,3788,3881
"chr3-32000000-33000000",5258,4323,6630,5814,5133,5183
"chr3-33000000-34000000",3807,3970,3486,3770,4006,3975
"chr3-34000000-35000000",1379,1571,1715,1382,1888,1714
"chr3-35000000-36000000",1323,1105,1187,1187,1286,1148
"chr3-36000000-37000000",3165,4205,2299,3259,2648,2652
"chr3-37000000-38000000",6991,7826,7538,6776,7538,7660
